country,population,median_age,less_5,5_to_14,15_to_24,25_to_64,over_65
Afghanistan,40099462.0,18.6,14.6,27.3,22.0,33.5,2.6
Albania,2854710.0,38.0,5.8,11.5,14.9,53.2,14.7
Algeria,44177969.0,29.1,11.5,19.3,13.5,49.0,6.7
Angola,34503774.0,16.8,17.6,28.8,19.5,31.9,2.2
Argentina,45276780.0,31.9,8.3,16.2,15.5,48.7,11.4
Armenia,2790974.0,35.7,6.9,13.9,11.7,55.7,11.8
Australia,25921089.0,37.9,6.5,12.7,12.2,52.3,16.2
Austria,8922082.0,44.4,5.0,9.4,10.7,55.7,19.2
Azerbaijan,10312992.0,32.4,8.1,15.4,13.4,56.4,6.7
Bahrain,1463265.0,32.4,6.4,11.9,10.6,68.5,2.7
Bangladesh,169356251.0,27.5,8.7,18.1,18.7,49.3,5.2
Belarus,9578168.0,40.3,5.8,11.4,9.2,58.0,15.6
Belgium,11611420.0,41.8,5.5,11.6,11.2,52.5,19.3
Benin,12996895.0,18.8,15.7,26.2,19.9,34.9,3.3
Bolivia,12079472.0,25.4,10.2,20.0,18.9,43.4,7.5
Bosnia and Herzegovina,3270943.0,42.5,4.1,10.5,11.6,55.9,17.9
Botswana,2588423.0,25.8,11.6,21.8,18.3,43.8,4.5
Brazil,214326223.0,33.5,6.8,13.9,15.7,54.0,9.6
Bulgaria,6885868.0,44.7,4.5,10.2,8.8,55.0,21.5
Burkina Faso,22100683.0,17.6,16.6,27.8,20.2,33.0,2.4
Burundi,12551213.0,17.5,17.3,28.0,19.0,33.4,2.4
Cambodia,16589023.0,25.6,10.6,20.3,17.9,46.3,4.9
Cameroon,27198628.0,18.8,15.5,26.6,19.9,35.3,2.7
Canada,38155012.0,41.4,5.3,10.5,11.5,54.6,18.1
Central African Republic,5457154.0,18.3,15.3,28.3,22.4,31.3,2.8
Chad,17179740.0,16.7,17.8,28.6,20.6,30.4,2.5
Chile,19493184.0,35.4,6.1,13.2,13.8,54.7,12.2
China,1425893464.0,38.7,5.8,11.9,11.8,58.5,12.0
Colombia,51516562.0,32.2,7.3,14.9,17.0,51.7,9.1
Congo,5835806.0,19.0,14.9,26.4,19.0,37.0,2.8
Costa Rica,5153957.0,33.6,6.8,14.0,15.0,53.9,10.3
Cote d'Ivoire,27478249.0,18.7,15.7,25.8,20.6,35.0,2.9
Croatia,4060135.0,44.0,4.5,10.1,10.5,53.7,21.3
Cuba,11256372.0,43.1,5.0,10.9,11.9,56.3,15.9
Czechia,10510750.0,43.3,5.2,10.5,9.0,55.1,20.1
Democratic Republic of Congo,95894118.0,17.0,17.7,28.1,19.2,32.0,3.0
Denmark,5854240.0,42.3,5.3,11.0,12.3,51.2,20.2
Djibouti,1105557.0,25.4,10.0,18.9,18.3,48.1,4.7
Dominican Republic,11117874.0,27.6,9.2,18.2,17.5,47.5,7.5
Ecuador,17797737.0,28.1,9.4,17.9,17.7,47.3,7.6
Egypt,109262178.0,25.3,12.4,21.5,16.7,44.0,5.3
El Salvador,6314167.0,27.6,8.9,17.7,18.8,45.9,8.7
Equatorial Guinea,1634466.0,22.4,14.2,22.5,18.5,42.4,2.4
Eritrea,3620312.0,19.3,14.0,27.2,18.6,35.8,4.5
Estonia,1328701.0,42.7,5.2,11.3,9.1,54.1,20.4
Eswatini,1192271.0,21.5,12.4,25.1,20.9,37.7,4.0
Ethiopia,120283026.0,19.8,14.6,25.3,21.5,35.0,3.5
Finland,5535992.0,42.8,4.8,11.1,11.0,50.6,22.6
France,67422000.0,42.0,5.5,12.1,11.6,50.0,20.8
Gabon,2341179.0,23.1,14.4,22.9,16.7,42.5,3.5
Gambia,2639916.0,17.5,16.9,27.0,20.1,33.4,2.5
Georgia,3757980.0,38.7,6.7,13.5,11.3,53.2,15.3
Germany,83408554.0,46.6,4.8,9.1,10.4,54.0,21.7
Ghana,32833031.0,21.1,13.4,23.7,19.3,40.4,3.1
Greece,10445365.0,45.3,3.9,9.7,10.1,53.9,22.3
Guatemala,17608483.0,22.9,11.5,21.8,20.9,40.7,5.0
Guinea,13531906.0,19.0,16.0,27.1,21.4,32.6,3.0
Guinea-Bissau,2060721.0,19.4,15.5,26.4,19.7,35.5,2.9
Haiti,11447569.0,24.3,11.1,21.4,19.4,43.0,5.2
Honduras,10278346.0,24.9,10.3,20.3,20.8,43.7,5.0
Hong Kong,7494578.0,44.8,4.8,7.8,8.6,60.6,18.2
Hungary,9709786.0,43.4,4.8,9.6,10.4,55.0,20.2
India,1407563842.0,28.2,8.5,17.7,18.0,49.3,6.6
Indonesia,273753191.0,29.3,8.6,17.3,16.8,51.0,6.3
Iran,87923432.0,32.4,9.1,15.7,13.2,55.5,6.6
Iraq,43533592.0,20.0,13.4,24.3,19.8,39.1,3.4
Ireland,4986526.0,38.7,6.4,14.5,12.2,52.4,14.6
Israel,9291000.0,30.6,9.8,18.0,14.9,44.8,12.4
Italy,59240330.0,47.9,3.8,9.1,9.6,54.1,23.3
Jamaica,2827694.0,31.4,7.8,15.6,16.9,50.6,9.1
Japan,124612530.0,48.2,3.8,8.7,9.3,49.9,28.4
Jordan,11148278.0,23.2,10.4,22.5,19.4,43.8,4.0
Kazakhstan,19196465.0,30.6,10.2,18.9,11.8,51.1,7.9
Kenya,53005614.0,20.0,13.1,25.5,20.9,38.0,2.5
Kuwait,4250114.0,33.7,6.8,14.7,10.1,65.4,3.0
Kyrgyzstan,6527743.0,26.3,11.7,21.0,15.5,47.1,4.7
Laos,7425058.0,24.4,11.0,21.0,19.3,44.5,4.3
Latvia,1873919.0,43.9,6.0,10.4,8.3,54.6,20.7
Lebanon,5592631.0,31.1,8.3,16.8,17.1,50.3,7.5
Liberia,5193416.0,19.2,14.6,25.7,20.1,36.2,3.3
Libya,6735277.0,29.0,9.1,18.7,16.1,51.6,4.5
Lithuania,2786651.0,43.5,5.3,10.1,9.4,54.5,20.6
Madagascar,28915653.0,19.6,14.8,25.2,20.5,36.3,3.1
Malawi,19889742.0,18.1,15.3,27.7,21.0,33.4,2.6
Malaysia,33573874.0,29.9,8.1,15.3,17.1,52.3,7.2
Mali,21904983.0,16.4,17.8,29.2,19.9,30.6,2.5
Mauritania,4614974.0,20.3,14.8,24.8,19.1,38.1,3.2
Mauritius,1298915.0,37.4,5.0,11.7,14.8,55.9,12.5
Mexico,126705138.0,29.3,8.5,17.3,17.2,49.4,7.6
Moldova,3061506.0,37.6,5.0,10.9,11.0,60.6,12.5
Mongolia,3347782.0,28.6,11.5,19.6,13.6,51.0,4.3
Morocco,37076584.0,29.6,9.0,17.8,15.8,49.8,7.6
Mozambique,32077072.0,17.7,16.5,27.6,20.6,32.4,2.9
Myanmar,53798084.0,29.1,8.3,17.2,18.1,50.2,6.2
Namibia,2530151.0,22.0,13.2,23.6,19.3,40.3,3.6
Nepal,30034989.0,25.0,9.3,19.5,22.0,43.4,5.8
Netherlands,17501696.0,43.2,5.0,10.7,11.9,52.4,20.0
New Zealand,5129728.0,37.9,6.2,13.2,13.0,51.2,16.4
Nicaragua,6850540.0,27.3,9.9,19.6,17.9,46.9,5.7
Niger,25252722.0,15.1,19.8,29.9,19.5,28.2,2.6
Nigeria,213401323.0,18.1,16.5,27.0,19.4,34.4,2.7
North Macedonia,2103330.0,39.1,5.4,10.9,12.1,57.1,14.5
Norway,5403021.0,39.7,5.6,11.7,12.5,52.8,17.5
Oman,4520471.0,30.7,8.9,13.6,10.6,64.4,2.5
Pakistan,231402116.0,23.5,12.7,22.2,19.4,41.5,4.3
Palestine,5133392.0,20.4,13.6,24.8,19.9,38.5,3.2
Panama,4351267.0,29.7,9.0,17.5,16.4,48.6,8.5
Papua New Guinea,9949437.0,22.6,12.4,22.8,19.7,41.6,3.6
Paraguay,6703799.0,26.5,9.8,19.1,18.7,45.5,6.8
Peru,33715472.0,29.1,8.6,16.1,15.3,51.3,8.7
Philippines,113880328.0,25.2,9.7,20.4,18.8,45.7,5.5
Poland,38307726.0,41.8,5.0,10.2,9.8,56.3,18.7
Portugal,10290103.0,46.2,3.9,9.1,10.4,53.7,22.8
Puerto Rico,3256028.0,38.2,2.9,12.8,11.5,52.0,20.8
Qatar,2688235.0,31.9,4.7,8.9,11.9,72.8,1.7
Romania,19328560.0,43.0,4.9,10.6,10.4,54.8,19.2
Russia,145102755.0,39.6,6.4,12.0,9.4,56.7,15.5
Rwanda,13461888.0,20.3,14.6,24.9,19.6,37.8,3.1
Saudi Arabia,35950396.0,31.9,8.6,16.1,13.1,58.7,3.5
Senegal,16876720.0,18.7,15.6,27.0,19.6,34.7,3.1
Serbia,6871547.0,41.2,4.8,10.6,11.9,53.6,19.1
Sierra Leone,8420641.0,19.1,14.5,25.8,20.4,36.3,2.9
Singapore,5453600.0,42.4,4.4,7.9,11.3,63.0,13.4
Slovakia,5447622.0,41.2,5.2,10.4,10.1,57.6,16.7
Slovenia,2119410.0,44.5,4.9,10.3,9.1,55.1,20.7
Somalia,17065581.0,16.8,17.8,28.4,21.1,29.9,2.9
South Korea,51830139.0,43.4,3.7,8.8,11.1,60.6,15.8
Spain,47486935.0,45.5,4.3,10.1,9.6,56.0,20.0
Sri Lanka,21773441.0,34.1,7.8,15.9,14.8,50.3,11.2
Sudan,45657202.0,19.7,14.5,25.3,20.4,36.1,3.7
Sweden,10467097.0,41.0,6.0,11.7,10.7,51.3,20.3
Switzerland,8691406.0,43.1,5.2,9.7,10.5,55.4,19.1
Syria,21324367.0,21.7,11.0,19.8,18.2,46.2,4.9
Taiwan,23859912.0,42.2,4.2,8.5,11.4,60.0,15.8
Tanzania,63588334.0,17.7,16.3,27.3,19.6,34.2,2.6
Thailand,71601103.0,40.1,5.2,11.4,13.2,57.3,13.0
Timor,1320942.0,18.0,13.5,23.3,21.4,37.4,4.3
Togo,8644829.0,19.4,14.7,25.9,19.7,36.7,2.9
Trinidad and Tobago,1525663.0,36.2,6.3,13.7,12.5,55.9,11.5
Tunisia,12262946.0,32.7,8.5,15.8,13.6,53.2,8.9
Turkey,84775404.0,31.6,7.8,16.2,16.1,51.0,9.0
Uganda,45853778.0,16.4,17.0,29.0,21.0,31.0,2.0
Ukraine,43531422.0,41.4,4.8,11.2,9.4,57.6,16.9
United Arab Emirates,9365144.0,34.0,5.0,9.8,11.2,72.7,1.3
United Kingdom,67281040.0,40.8,5.8,11.9,11.4,52.2,18.7
United States,336997624.0,38.3,5.9,12.4,13.1,51.9,16.6
Uruguay,3426260.0,35.6,6.8,13.5,14.4,50.2,15.1
Uzbekistan,34081449.0,28.2,10.3,18.5,15.9,50.5,4.8
Venezuela,28199866.0,29.0,8.3,19.0,16.2,48.6,8.0
Vietnam,97468028.0,32.6,8.1,15.1,13.7,55.3,7.9
Zambia,19473125.0,17.7,16.0,28.0,21.0,32.8,2.1
Zimbabwe,15993524.0,19.6,14.1,27.8,20.3,34.8,3.0
